TimeSeries ID,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".60s.project_id:llm-workload-characterization2.response_code_class:2xx,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".60s.project_id:llm-workload-characterization2.response_code_class:5xx
response_code_class,2xx,5xx
project_id,llm-workload-characterization2,llm-workload-characterization2
Sun May 25 2025 19:44:00 GMT+0300 (GMT+03:00),0.4666666666666667,undefined
Sun May 25 2025 19:45:00 GMT+0300 (GMT+03:00),0.5166666666666667,undefined
Sun May 25 2025 19:46:00 GMT+0300 (GMT+03:00),0.5166666666666667,undefined
Sun May 25 2025 19:47:00 GMT+0300 (GMT+03:00),3.533333333333333,0.5833333333333334
Sun May 25 2025 19:48:00 GMT+0300 (GMT+03:00),2.4166666666666665,0.25
Sun May 25 2025 19:49:00 GMT+0300 (GMT+03:00),0.5666666666666667,0
Sun May 25 2025 19:50:00 GMT+0300 (GMT+03:00),0.5833333333333334,0
Sun May 25 2025 19:51:00 GMT+0300 (GMT+03:00),0.5166666666666667,0
Sun May 25 2025 19:52:00 GMT+0300 (GMT+03:00),2.6333333333333333,0
Sun May 25 2025 19:53:00 GMT+0300 (GMT+03:00),3.9166666666666665,0.016666666666666666
Sun May 25 2025 19:54:00 GMT+0300 (GMT+03:00),0.7166666666666667,0
Sun May 25 2025 19:55:00 GMT+0300 (GMT+03:00),0.6,0
Sun May 25 2025 19:56:00 GMT+0300 (GMT+03:00),0.5333333333333333,0
Sun May 25 2025 19:57:00 GMT+0300 (GMT+03:00),1.3166666666666667,0
Sun May 25 2025 19:58:00 GMT+0300 (GMT+03:00),5.1,0.016666666666666666
