TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization2.service_name:ollama-gemma
project_id,llm-workload-characterization2
service_name,ollama-gemma
Sun May 25 2025 20:06:00 GMT+0300 (GMT+03:00),321739.4674451224
Sun May 25 2025 20:07:00 GMT+0300 (GMT+03:00),321638.1048152959
Sun May 25 2025 20:08:00 GMT+0300 (GMT+03:00),323426.22726399644
Sun May 25 2025 20:09:00 GMT+0300 (GMT+03:00),323309.17778123025
Sun May 25 2025 20:10:00 GMT+0300 (GMT+03:00),323001.07017707056
Sun May 25 2025 20:11:00 GMT+0300 (GMT+03:00),322829.63287203235
Sun May 25 2025 20:12:00 GMT+0300 (GMT+03:00),322627.807014596
Sun May 25 2025 20:13:00 GMT+0300 (GMT+03:00),323427.3254194167
Sun May 25 2025 20:14:00 GMT+0300 (GMT+03:00),323367.7790490331
Sun May 25 2025 20:15:00 GMT+0300 (GMT+03:00),322652.66533134767
Sun May 25 2025 20:16:00 GMT+0300 (GMT+03:00),322829.63287203235
Sun May 25 2025 20:17:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 20:22:00 GMT+0300 (GMT+03:00),42844.810443655304
Sun May 25 2025 20:23:00 GMT+0300 (GMT+03:00),93573.3644811185
Sun May 25 2025 20:24:00 GMT+0300 (GMT+03:00),159166.0725249485
Sun May 25 2025 20:25:00 GMT+0300 (GMT+03:00),220088.6552957896
Sun May 25 2025 20:26:00 GMT+0300 (GMT+03:00),289860.92036467604
Sun May 25 2025 20:27:00 GMT+0300 (GMT+03:00),323417.75098774367
Sun May 25 2025 20:28:00 GMT+0300 (GMT+03:00),321739.4674451224
Sun May 25 2025 20:29:00 GMT+0300 (GMT+03:00),317554.6388708553
Sun May 25 2025 20:30:00 GMT+0300 (GMT+03:00),320065.53601541556
Sun May 25 2025 20:31:00 GMT+0300 (GMT+03:00),321141.6347916557
Sun May 25 2025 20:32:00 GMT+0300 (GMT+03:00),323394.83550796175
Sun May 25 2025 20:33:00 GMT+0300 (GMT+03:00),323261.2232903105
Sun May 25 2025 20:34:00 GMT+0300 (GMT+03:00),322266.9668452401
Sun May 25 2025 20:35:00 GMT+0300 (GMT+03:00),321801.00904180284
Sun May 25 2025 20:36:00 GMT+0300 (GMT+03:00),320508.63551151444
Sun May 25 2025 20:37:00 GMT+0300 (GMT+03:00),323382.79440512875
Sun May 25 2025 20:38:00 GMT+0300 (GMT+03:00),323313.57727581006
Sun May 25 2025 20:39:00 GMT+0300 (GMT+03:00),322517.3532271627
Sun May 25 2025 20:40:00 GMT+0300 (GMT+03:00),320622.2507669244
Sun May 25 2025 20:41:00 GMT+0300 (GMT+03:00),321076.7117885643
Sun May 25 2025 20:42:00 GMT+0300 (GMT+03:00),323381.61536667024
Sun May 25 2025 20:43:00 GMT+0300 (GMT+03:00),323428.01500404085
Sun May 25 2025 20:44:00 GMT+0300 (GMT+03:00),322921.0661013861
Sun May 25 2025 20:45:00 GMT+0300 (GMT+03:00),322954.9139795603
Sun May 25 2025 20:46:00 GMT+0300 (GMT+03:00),321551.2225611588
Sun May 25 2025 20:47:00 GMT+0300 (GMT+03:00),323147.3179040133
