TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".project_id:llm-workload-characterization3.service_name:ollama-llama
service_name,ollama-llama
project_id,llm-workload-characterization3
Sun May 25 2025 21:24:00 GMT+0300 (GMT+03:00),320508.63551151444
Sun May 25 2025 21:25:00 GMT+0300 (GMT+03:00),320727.4500774892
Sun May 25 2025 21:26:00 GMT+0300 (GMT+03:00),319622.43651931675
Sun May 25 2025 21:27:00 GMT+0300 (GMT+03:00),323408.74498294096
Sun May 25 2025 21:28:00 GMT+0300 (GMT+03:00),323172.07510555134
Sun May 25 2025 21:29:00 GMT+0300 (GMT+03:00),322161.46696521656
Sun May 25 2025 21:30:00 GMT+0300 (GMT+03:00),321947.7620800407
Sun May 25 2025 21:31:00 GMT+0300 (GMT+03:00),320679.0583946294
Sun May 25 2025 21:32:00 GMT+0300 (GMT+03:00),323372.40827287745
Sun May 25 2025 21:33:00 GMT+0300 (GMT+03:00),323399.7811598191
Sun May 25 2025 21:34:00 GMT+0300 (GMT+03:00),322428.7333279429
Sun May 25 2025 21:35:00 GMT+0300 (GMT+03:00),321948.7088738358
Sun May 25 2025 21:36:00 GMT+0300 (GMT+03:00),320836.85736047657
Sun May 25 2025 21:37:00 GMT+0300 (GMT+03:00),323320.1147703874
Sun May 25 2025 21:38:00 GMT+0300 (GMT+03:00),323442.5095592536
Sun May 25 2025 21:39:00 GMT+0300 (GMT+03:00),322829.63287203235
Sun May 25 2025 21:40:00 GMT+0300 (GMT+03:00),322362.7397859707
Sun May 25 2025 21:41:00 GMT+0300 (GMT+03:00),322506.9273566662
Sun May 25 2025 21:42:00 GMT+0300 (GMT+03:00),323229.4218910689
Sun May 25 2025 21:43:00 GMT+0300 (GMT+03:00),323447.8916499747
Sun May 25 2025 21:44:00 GMT+0300 (GMT+03:00),323126.1008893137
Sun May 25 2025 21:45:00 GMT+0300 (GMT+03:00),322545.87457403797
Sun May 25 2025 21:46:00 GMT+0300 (GMT+03:00),321493.30105840083
Sun May 25 2025 21:47:00 GMT+0300 (GMT+03:00),322691.06586543424
Sun May 25 2025 21:48:00 GMT+0300 (GMT+03:00),323445.51462197106
Sun May 25 2025 21:49:00 GMT+0300 (GMT+03:00),323305.50467128743
Sun May 25 2025 21:50:00 GMT+0300 (GMT+03:00),323083.9146341403
Sun May 25 2025 21:51:00 GMT+0300 (GMT+03:00),322388.45155557024
Sun May 25 2025 21:52:00 GMT+0300 (GMT+03:00),322724.1329920088
Sun May 25 2025 21:57:00 GMT+0300 (GMT+03:00),50352.96429865333
Sun May 25 2025 21:58:00 GMT+0300 (GMT+03:00),98923.73177483313
Sun May 25 2025 21:59:00 GMT+0300 (GMT+03:00),155679.57760297344
Sun May 25 2025 22:00:00 GMT+0300 (GMT+03:00),211850.04253070653
Sun May 25 2025 22:01:00 GMT+0300 (GMT+03:00),264950.9842758305
Sun May 25 2025 22:02:00 GMT+0300 (GMT+03:00),322916.0264745713
Sun May 25 2025 22:03:00 GMT+0300 (GMT+03:00),323460.3457770647
Sun May 25 2025 22:04:00 GMT+0300 (GMT+03:00),323451.093102796
