timestamp,Max_concurrent_requests_p50
Sun May 25 2025 20:14:00 GMT+0300 (GMT+03:00),82.5
Sun May 25 2025 20:15:00 GMT+0300 (GMT+03:00),25.5
Sun May 25 2025 20:16:00 GMT+0300 (GMT+03:00),13.5
Sun May 25 2025 20:17:00 GMT+0300 (GMT+03:00),4.5
Sun May 25 2025 20:18:00 GMT+0300 (GMT+03:00),0.625
Sun May 25 2025 20:19:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:20:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:21:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:22:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 20:23:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:24:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:25:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:26:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:27:00 GMT+0300 (GMT+03:00),100.0
Sun May 25 2025 20:28:00 GMT+0300 (GMT+03:00),104.16666666666669
Sun May 25 2025 20:29:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:30:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:31:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:32:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:33:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:34:00 GMT+0300 (GMT+03:00),93.75
Sun May 25 2025 20:35:00 GMT+0300 (GMT+03:00),94.16666666666669
Sun May 25 2025 20:36:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 20:37:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 20:38:00 GMT+0300 (GMT+03:00),106.25
Sun May 25 2025 20:39:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:40:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:41:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:42:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:43:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:44:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:45:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:46:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:47:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:48:00 GMT+0300 (GMT+03:00),103.75
Sun May 25 2025 20:49:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:50:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:51:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:52:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:53:00 GMT+0300 (GMT+03:00),96.25
Sun May 25 2025 20:54:00 GMT+0300 (GMT+03:00),37.0
Sun May 25 2025 20:55:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 20:56:00 GMT+0300 (GMT+03:00),11.666666666666666
Sun May 25 2025 20:57:00 GMT+0300 (GMT+03:00),4.5
Sun May 25 2025 20:58:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:59:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:00:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:01:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 21:02:00 GMT+0300 (GMT+03:00),49.0
Sun May 25 2025 21:03:00 GMT+0300 (GMT+03:00),175.0
