timestamp,Max_concurrent_requests_p50
Mon May 26 2025 00:41:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:42:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:43:00 GMT+0300 (GMT+03:00),403.75
Mon May 26 2025 00:44:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:45:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:46:00 GMT+0300 (GMT+03:00),407.5
Mon May 26 2025 00:47:00 GMT+0300 (GMT+03:00),406.25
Mon May 26 2025 00:48:00 GMT+0300 (GMT+03:00),406.25
Mon May 26 2025 00:49:00 GMT+0300 (GMT+03:00),408.75
Mon May 26 2025 00:50:00 GMT+0300 (GMT+03:00),400.0
Mon May 26 2025 00:51:00 GMT+0300 (GMT+03:00),407.5
Mon May 26 2025 00:52:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:53:00 GMT+0300 (GMT+03:00),401.25
Mon May 26 2025 00:54:00 GMT+0300 (GMT+03:00),382.5
Mon May 26 2025 00:55:00 GMT+0300 (GMT+03:00),31.0
Mon May 26 2025 00:56:00 GMT+0300 (GMT+03:00),17.0
Mon May 26 2025 00:57:00 GMT+0300 (GMT+03:00),7.75
Mon May 26 2025 00:58:00 GMT+0300 (GMT+03:00),2.5
Mon May 26 2025 00:59:00 GMT+0300 (GMT+03:00),0.5
